head,relation,tail
全国生态状况调查评估技术规范,《全国生态状况调查评估技术规范》是由中国生态环境部发布的一项综合性技术标准体系，其中包含编号为HJ 1168—2021的专项标准。该标准作为技术规范系列的重要组成部分，专门针对草地生态系统的野外观测工作制定了详细的技术要求和操作指南。通过将宏观规范框架与具体生态系统观测标准相结合，这一技术规范体系为全国生态状况调查评估提供了系统化的方法论支撑，尤其强调了草地生态系统这一关键领域的标准化观测实践。,HJ 1168—2021
全国生态状况调查评估技术规范,全国生态状况调查评估技术规范包含了HJ 1169—2021这一技术标准。,HJ 1169—2021
全国生态状况调查评估技术规范,全国生态状况调查评估技术规范包含了HJ 1170—2021这一技术标准。,HJ 1170—2021
全国生态状况调查评估技术规范,该规范体系包含遥感解译与核查的技术标准,生态系统遥感解译与野外核查
全国生态状况调查评估技术规范,《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准化技术文件，其中明确包含与森林生态系统野外观测相关的技术标准。该规范体系将森林生态观测作为重要组成部分，通过统一的技术要求和方法指导野外数据采集工作。两份描述共同表明，该规范不仅涉及森林生态观测的具体操作标准，还将其纳入更广泛的生态状况调查评估框架中，二者在内容上存在明确的从属关系且无实质性矛盾。,森林生态系统野外观测
全国生态状况调查评估技术规范,《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准化文件体系，其中明确包含针对草地生态系统野外观测的技术标准与操作规范。该规范体系将草地生态观测作为重要组成部分，通过统一的技术标准指导野外数据采集、监测流程及评估方法，确保全国范围内草地生态观测数据的科学性和可比性。两份描述均指向规范对草地观测的标准化覆盖，不存在实质矛盾，仅存在表述差异（包含标准与包含技术标准），实际指向同一核心内容——即该规范为草地野外观测提供了系统化的技术框架。,草地生态系统野外观测
全国生态状况调查评估技术规范,《全国生态状况调查评估技术规范》是一套涵盖湿地生态系统野外观测标准的综合性技术规范体系。该规范明确将湿地生态观测纳入其技术标准框架，系统规定了湿地野外观测的操作流程、指标体系和评估方法，为全国范围内的湿地生态系统调查提供了统一的技术依据。两部描述均指向该规范对湿地观测的标准化要求，不存在矛盾，而是相互补充地强调了规范在湿地生态领域的具体应用内容。,湿地生态系统野外观测
全国生态状况调查评估技术规范,《全国生态状况调查评估技术规范》是一套涵盖多领域生态调查评估的标准体系，其中明确包含针对荒漠生态系统野外观测的技术规范。该规范体系将荒漠生态观测作为重要组成部分，详细制定了相关技术标准，为荒漠生态系统的科学监测与评估提供了统一的方法论依据。两份描述共同表明，该技术规范通过系统整合荒漠生态观测标准，实现了对特殊生态系统调查评估的标准化覆盖。,荒漠生态系统野外观测
全国生态状况调查评估技术规范,《全国生态状况调查评估技术规范》是一套系统性的技术标准体系，其中明确包含了关于生态系统格局评估的相关标准与规范。该规范将生态系统格局评估作为其核心组成部分之一，通过统一的技术框架和方法论，为全国范围内的生态状况调查与评估工作提供标准化指导。两份描述共同表明，生态系统格局评估在该规范中既作为独立的技术模块存在，同时也被整合于整体规范体系内，二者在内容与功能上具有明确的从属关系，不存在实质性的表述矛盾。,生态系统格局评估
生态环境部自然生态保护司,生态环境部自然生态保护司是负责全国生态状况调查评估技术规范的制定与发布工作的机构。该司组织制订了相关技术规范，并承担后续的发布职责，确保全国生态状况调查评估工作的标准化和规范化。两项描述均指向同一职能，不存在矛盾，共同强调了该司在技术规范制定与发布中的核心作用。,全国生态状况调查评估技术规范
生态环境部自然生态保护司,生态环境部自然生态保护司发布《森林生态系统野外观测》技术规范,HJ 1169—2021
生态环境部自然生态保护司,生态环境部自然生态保护司发布《荒漠生态系统野外观测》技术规范,HJ 1170—2021
生态环境部自然生态保护司,生态环境部自然生态保护司发布《生态系统格局评估》技术规范,HJ 1171—2021
生态环境部自然生态保护司,生态环境部自然生态保护司发布《生态系统服务功能评估》技术规范,HJ 1173—2021
生态环境部自然生态保护司,生态环境部自然生态保护司发布《生态问题评估》技术规范,HJ 1174—2021
生态环境部自然生态保护司,生态环境部自然生态保护司发布《项目尺度生态影响评估》技术规范,HJ 1175—2021
生态环境部自然生态保护司,生态环境部自然生态保护司发布《数据质量控制与集成》技术规范,HJ 1176—2021
生态系统质量,叶面积指数是评估生态系统质量的重要指标之一。,叶面积指数
生态系统质量,总初级生产力反映了生态系统的光合作用能力，是生态系统质量的重要衡量标准。,总初级生产力
生态环境状况评价技术规范,HJ 192是生态环境状况评价技术规范的制定和发布机构。,HJ 192
生态系统质量评估,生态系统质量评估依赖于遥感生态参数作为其技术流程的一部分。,遥感生态参数
生态系统质量评估,生态系统质量评估依赖于生态功能分区作为其技术流程的一部分。,生态功能分区
遥感生态参数,遥感生态参数和生态功能分区都是通过数据预处理从遥感数据和其他辅助信息中提取的，共同用于生态系统质量评估。,生态功能分区
遥感生态参数,数据预处理生成遥感生态参数作为输出结果。,数据预处理
遥感生态参数,遥感生态参数是一类用于评估生态环境状况的指标集合，其中植被覆盖度相对密度是其重要的评估指标之一。遥感生态参数通过特定的计算方法或模型来量化植被覆盖度相对密度，从而为生态监测和分析提供数据支持。两者之间存在明确的关联性：遥感生态参数既包含植被覆盖度相对密度作为其组成部分，同时也为计算该指标提供了技术手段。,植被覆盖度相对密度
遥感生态参数,遥感生态参数是一类通过遥感技术获取的生态评估指标，其中叶面积指数相对密度是其重要组成部分之一。作为评估生态系统状况的关键参数，遥感生态参数不仅包含叶面积指数相对密度这一具体指标，同时也为计算叶面积指数相对密度提供了数据基础和方法支持。这两个概念之间存在双向关联：叶面积指数相对密度既是遥感生态参数的构成要素，又是其具体应用的计算结果，共同服务于生态环境监测与量化分析。,叶面积指数相对密度
遥感生态参数,遥感生态参数是一类通过遥感技术获取的生态评估指标，其中总初级生产力相对密度是其核心组成部分之一。作为评估生态系统生产力的重要参数，总初级生产力相对密度的计算依赖于遥感生态参数提供的技术框架和数据支持。两者具有明确的从属关系：遥感生态参数既包含总初级生产力相对密度作为子指标，同时也为后者的量化分析提供方法论基础。这种双向关系表明，遥感生态参数在功能上既是总初级生产力相对密度的载体，也是其实现计算的必要条件。,总初级生产力相对密度
生态功能分区,数据预处理生成生态功能分区作为输出结果。,数据预处理
生态功能分区,生态功能分区与植被覆盖度相对密度之间存在密切的关联。生态功能分区涉及对植被覆盖度相对密度的评估，并且这一分区方法被用于计算植被覆盖度相对密度。两者相互依存，生态功能分区的过程需要依赖植被覆盖度相对密度的数据，而植被覆盖度相对密度的计算则通过生态功能分区的方法来实现。,植被覆盖度相对密度
生态功能分区,生态功能分区与叶面积指数相对密度之间存在相互关联的关系。生态功能分区涉及对叶面积指数相对密度的评估，同时这一分区方法也被用于计算叶面积指数相对密度。这两个概念在生态评估和分析中相互支持，前者为后者提供框架和基础，而后者则是前者评估过程中的重要指标之一。,叶面积指数相对密度
生态功能分区,生态功能分区是一种涉及评估和计算总初级生产力相对密度的地理或生态划分方法。该分区不仅用于分析总初级生产力相对密度的分布特征，还通过系统评估这一指标来支持生态功能的分类与管理。两者之间存在明确的关联性：生态功能分区的实施依赖于总初级生产力相对密度的数据，而该密度的计算又需要基于分区的框架进行。因此，生态功能分区与总初级生产力相对密度是相互依存、协同作用的生态评估工具。,总初级生产力相对密度
植被覆盖度相对密度,植被覆盖度相对密度直接影响生态系统质量的评估结果。,生态系统质量
植被覆盖度相对密度,植被覆盖度是计算植被覆盖度相对密度的基础参数。,植被覆盖度
叶面积指数相对密度,叶面积指数相对密度直接影响生态系统质量的评估结果。,生态系统质量
叶面积指数相对密度,叶面积指数是计算叶面积指数相对密度的基础参数。,叶面积指数
总初级生产力相对密度,总初级生产力相对密度直接影响生态系统质量的评估结果。,生态系统质量
总初级生产力相对密度,总初级生产力是计算总初级生产力相对密度的基础参数。,总初级生产力
生态系统质量,生态系统质量是进行生态系统质量分级的基础。,生态系统质量分级
生态系统质量评估,生态系统质量评估使用《全国生态功能区划》的分区边界作为参照标准。,全国生态功能区划
生态系统质量评估,生态系统质量评估在生态功能区内进行分区评估，以生态功能区为基本单位。,生态功能区
生态系统质量评估,植被覆盖度作为核心指标被用于生态系统质量评估的计算过程。,植被覆盖度
生态系统质量评估,叶面积指数作为核心指标被用于生态系统质量评估的计算过程。,叶面积指数
生态系统质量评估,总初级生产力作为核心指标被用于生态系统质量评估的计算过程。,总初级生产力
生态系统质量评估,森林作为主要植被类型参与生态系统质量评估的参数计算。,森林
生态系统质量评估,灌丛作为主要植被类型参与生态系统质量评估的参数计算。,灌丛
生态系统质量评估,草地作为主要植被类型参与生态系统质量评估的参数计算。,草地
生态系统质量评估,农田作为主要植被类型参与生态系统质量评估的参数计算。,农田
系统质量,植被覆盖度是构建系统质量指标的重要参数之一。,植被覆盖度
系统质量,叶面积指数是构建系统质量指标的重要参数之一。,叶面积指数
系统质量,总初级生产力是构建系统质量指标的重要参数之一。,总初级生产力
系统质量,系统质量评估结果是生态系统质量分级的基础。,生态系统质量分级
植被覆盖度,两者均为系统质量的计算参数，共同反映生态系统状况。,叶面积指数
植被覆盖度,植被覆盖度与总初级生产力是生态系统质量的两个关键计算参数，共同用于评估生态系统的整体状况。植被覆盖度与总初级生产力之间存在密切关系，其中植被覆盖度直接影响植物的光合作用效率，进而对总初级生产力产生影响。这两个指标相互关联，共同反映了生态系统的健康状况和功能表现。,总初级生产力
叶面积指数,两者均为系统质量的计算参数，共同反映生态系统状况。,总初级生产力
灌丛生态系统,"阔叶灌丛是灌丛生态系统的一个子类型。
阔叶灌丛属于灌丛生态系统的子类。",阔叶灌丛
灌丛生态系统,"针叶灌丛属于灌丛生态系统的子类。
针叶灌丛是灌丛生态系统的一个子类型。",针叶灌丛
灌丛生态系统,"稀疏灌丛属于灌丛生态系统的子类。
稀疏灌丛是灌丛生态系统的一个子类型。",稀疏灌丛
草地生态系统,"草甸是草地生态系统的一个子类型。
草甸属于草地生态系统的子类。",草甸
草地生态系统,"草原属于草地生态系统的子类。
草原是草地生态系统的一个子类型。",草原
草地生态系统,"草丛属于草地生态系统的子类。
草丛是草地生态系统的一个子类型。",草丛
草地生态系统,"稀疏草地属于草地生态系统的子类。
稀疏草地是草地生态系统的一个子类型。",稀疏草地
湿地生态系统,"沼泽是湿地生态系统的一个子类型。
沼泽属于湿地生态系统的子类。",沼泽
湿地生态系统,"湖泊是湿地生态系统的一个子类型。
湖泊属于湿地生态系统的子类。",湖泊
湿地生态系统,"河流是湿地生态系统的一个子类型。
河流属于湿地生态系统的子类。",河流
农田生态系统,"耕地是农田生态系统的一个子类型。
耕地属于农田生态系统的子类。",耕地
农田生态系统,"园地是农田生态系统的一个子类型。
园地属于农田生态系统的子类。",园地
城镇生态系统,"居住地属于城镇生态系统的子类。
居住地是城镇生态系统的一个子类型。",居住地
城镇生态系统,"城市绿地是城镇生态系统的一个子类型。
城市绿地属于城镇生态系统的子类。",城市绿地
城镇生态系统,"工矿交通属于城镇生态系统的子类。
工矿交通是城镇生态系统的一个子类型。",工矿交通
荒漠生态系统,"沙漠是荒漠生态系统的一个子类型。
沙漠属于荒漠生态系统的子类。",沙漠
线性像元分解法,线性像元分解法中最常用的是像元二分模型，用于计算植被覆盖度。,像元二分模型
像元二分模型,像元二分模型用于计算植被覆盖度，通过NDVI值进行估算。,植被覆盖度
神经网络,神经网络可以应用于基于遥感影像分类的植被覆盖度估算方法。,遥感影像分类
神经网络,神经网络可以应用于基于辐射传输模型的植被覆盖度估算方法。,辐射传输模型
决策树,决策树可以应用于基于遥感影像分类的植被覆盖度估算方法。,遥感影像分类
决策树,决策树可以应用于基于辐射传输模型的植被覆盖度估算方法。,辐射传输模型
支持向量机,支持向量机可以应用于基于遥感影像分类的植被覆盖度估算方法。,遥感影像分类
支持向量机,支持向量机可以应用于基于辐射传输模型的植被覆盖度估算方法。,辐射传输模型
遥感影像分类,遥感影像分类方法通过分类结果生成训练样本。,训练样本
辐射传输模型,辐射传输模型通过模拟光谱反射率生成训练样本。,训练样本
训练样本,机器学习方法依赖训练样本来构建植被覆盖度估算模型。,机器学习方法
辐射传输模型,辐射传输模型模拟的光谱反射率值用于训练机器学习模型，以估算植被覆盖度。,机器学习模型
辐射传输模型,辐射传输模型用于模拟不同参数情况下的光谱反射率值。,光谱反射率
机器学习模型,机器学习模型被训练用于估算植被覆盖度。,植被覆盖度
光谱反射率,光谱反射率是估算植被覆盖度的重要输入数据。,植被覆盖度
植被覆盖度,各种遥感估算方法用于评估植被覆盖度,植被覆盖度遥感估算方法
总初级生产力,通量站连续观测是估测总初级生产力的主要方法之一。,通量站连续观测
总初级生产力,"陆地生态过程模型是估测总初级生产力的另一种方法。
该模型专门用于估测生态系统的总初级生产力",陆地生态过程模型
通量站连续观测,涡度相关法是实现通量站连续观测的核心技术,涡度相关法
通量站连续观测,通量站连续观测利用涡度相关技术进行测量，两者在方法上密切相关。,涡度相关技术
通量站连续观测,通量站连续观测是估测总初级生产力的主要方法之一。,总初级生产力
涡度相关技术,涡度相关技术为碳循环研究提供了关键的定量测量手段。,碳循环
涡度相关技术,涡度相关法是涡度相关技术的具体实施方法。,涡度相关法
陆地生态过程模型,陆地生态过程模型与遥感估测总初级生产力模型都是用于估测总初级生产力的方法，但后者结合了遥感数据。,遥感估测总初级生产力模型
陆地生态过程模型,陆地生态过程模型是估测总初级生产力的重要建模方法。,总初级生产力
遥感估测总初级生产力模型,遥感模型实现了对总初级生产力的空间连续估测。,总初级生产力
GPP估测模型,GPP估测模型与经验型植被指数模型都是用于估测植被总初级生产力的方法。,经验型植被指数模型
GPP估测模型,GPP估测模型与植被生态过程模型都是用于估测植被总初级生产力的方法。,植被生态过程模型
GPP估测模型,GPP估测模型与机器学习模型都是用于估测植被总初级生产力的方法。,机器学习模型
GPP估测模型,GPP估测模型专门用于估测植被总初级生产力这一生态系统指标。,植被总初级生产力
经验型植被指数模型,经验型植被指数模型与植被生态过程模型都是遥感估测总初级生产力的模型类型。,植被生态过程模型
经验型植被指数模型,经验型植被指数模型与机器学习模型都是遥感估测总初级生产力的模型类型。,机器学习模型
经验型植被指数模型,经验型植被指数模型是估测植被总初级生产力的三种主要方法之一。,植被总初级生产力
植被生态过程模型,植被生态过程模型与机器学习模型都是遥感估测总初级生产力的模型类型。,机器学习模型
植被生态过程模型,植被生态过程模型是估测植被总初级生产力的三种主要方法之一。,植被总初级生产力
机器学习模型,机器学习模型是估测植被总初级生产力的三种主要方法之一。,植被总初级生产力
中华人民共和国国家生态环境标准,HJ 1173—2021 是中华人民共和国国家生态环境标准的一部分，具体规定了生态系统服务功能评估的技术规范。,HJ 1173—2021
中华人民共和国国家生态环境标准,该标准包含全国生态状况调查评估的技术规范内容。,全国生态状况调查评估技术规范
生态环境部,生态环境部下设的环境标准研究所负责标准文本的审校工作。,生态环境部环境标准研究所
全国生态状况调查评估技术规范,技术规范中专门规定了生态系统服务功能的评估方法。,生态系统服务功能评估
全国生态状况定期遥感调查评估方案,评估方案指导生态系统服务功能评估工作,生态系统服务功能评估
全国生态状况定期遥感调查评估方案,方案与技术规范同属生态状况调查评估体系，方案为规范性文件，技术规范为具体实施标准。,全国生态状况调查评估技术规范
全国生态状况定期遥感调查评估方案,生态环境部制定并发布了该评估方案，作为全国生态调查的指导文件。,生态环境部
全国生态状况定期遥感调查评估方案,评估方案与技术规范共同构成生态调查评估体系，方案为总体框架，HJ1166为具体技术标准。,HJ 1166—2021
全国生态状况定期遥感调查评估方案,评估方案与技术规范共同构成生态调查评估体系，方案为总体框架，HJ1167为具体技术标准。,HJ 1167—2021
全国生态状况定期遥感调查评估方案,评估方案与技术规范共同构成生态调查评估体系，方案为总体框架，HJ1168为具体技术标准。,HJ 1168—2021
全国生态状况调查评估技术规范,生态环境部主导制定并发布该系列技术规范，用于指导全国生态状况调查评估工作。,生态环境部
全国生态状况调查评估技术规范,全国生态状况调查评估技术规范包含了生态系统质量评估的标准。,生态系统质量评估
森林生态系统野外观测,HJ 1167—2021标准专门针对森林生态系统野外观测活动。,HJ 1167—2021
草地生态系统野外观测,HJ 1168—2021标准专门针对草地生态系统野外观测活动。,HJ 1168—2021
湿地生态系统野外观测,HJ 1169—2021标准专门针对湿地生态系统野外观测活动。,HJ 1169—2021
荒漠生态系统野外观测,HJ 1170—2021标准专门针对荒漠生态系统野外观测活动。,HJ 1170—2021
生态系统格局评估,HJ 1171—2021标准专门针对生态系统格局评估活动。,HJ 1171—2021
生态系统质量评估,HJ 1172—2021标准专门针对生态系统质量评估活动。,HJ 1172—2021
生态环境部法规与标准司,生态环境部法规与标准司组织制订了全国生态状况调查评估技术规范。,全国生态状况调查评估技术规范
中国科学院生态环境研究中心,中国科学院生态环境研究中心作为主要起草单位参与了全国生态状况调查评估技术规范的制定。,全国生态状况调查评估技术规范
生态环境部卫星环境应用中心,生态环境部卫星环境应用中心作为主要起草单位参与了全国生态状况调查评估技术规范的制定。,全国生态状况调查评估技术规范
全国生态状况调查评估技术规范,HJ 1171—2021是《全国生态状况调查评估技术规范》系列标准中关于生态系统格局评估的部分。,HJ 1171—2021
全国生态状况调查评估技术规范,HJ 1172—2021是《全国生态状况调查评估技术规范》系列标准中关于生态系统质量评估的部分。,HJ 1172—2021
全国生态状况调查评估技术规范,HJ 1174—2021是《全国生态状况调查评估技术规范》系列标准中关于生态问题评估的部分。,HJ 1174—2021
全国生态状况调查评估技术规范,HJ 1175—2021是《全国生态状况调查评估技术规范》系列标准中关于项目尺度生态影响评估的部分。,HJ 1175—2021
全国生态状况调查评估技术规范,HJ 1176—2021是《全国生态状况调查评估技术规范》系列标准中关于数据质量控制与集成的部分。,HJ 1176—2021
生态环境部,生态环境部组织制订并批准了HJ 1176—2021标准。,HJ 1176—2021
生态环境部,生态环境部与中国科学院生态环境研究中心合作起草本标准。,中国科学院生态环境研究中心
生态环境部,生态环境部与卫星环境应用中心合作起草本标准。,生态环境部卫星环境应用中心
生态环境部,生态环境部制定的标准适用于全国范围内的生态系统评估。,全国
生态环境部,生态环境部制定的标准适用于各省级行政区域的生态系统评估。,省级行政区域
中国科学院生态环境研究中心,中国科学院生态环境研究中心是HJ 1176—2021标准的主要起草单位之一。,HJ 1176—2021
生态环境部卫星环境应用中心,生态环境部卫星环境应用中心是HJ 1176—2021标准的主要起草单位之一。,HJ 1176—2021
自然生态保护司,自然生态保护司参与组织制订了HJ 1176—2021标准。,HJ 1176—2021
法规与标准司,法规与标准司参与组织制订了HJ 1176—2021标准。,HJ 1176—2021
HJ 1176—2021,HJ 1176—2021标准适用于全国陆域生态系统服务功能评估。,全国
HJ 1176—2021,HJ 1176—2021标准适用于省级行政区域的陆域生态系统评估。,省级行政区域
HJ 1170 全国生态状况调查评估技术规范,"HJ 1170 全国生态状况调查评估技术规范定义了生态系统服务的术语和定义。
该技术规范明确定义了生态系统服务的概念及其在荒漠生态系统评估中的应用。",生态系统服务
HJ 1170 全国生态状况调查评估技术规范,"该技术规范将水源涵养列为生态系统服务的关键功能之一，并给出科学定义。
HJ 1170 全国生态状况调查评估技术规范定义了水源涵养的术语和定义。",水源涵养
HJ 1170 全国生态状况调查评估技术规范,"该技术规范将土壤保持作为生态系统服务的重要组成部分进行标准化定义。
HJ 1170 全国生态状况调查评估技术规范定义了土壤保持的术语和定义。",土壤保持
生态系统服务,水源涵养是生态系统服务的重要功能之一，二者具有从属关系。,水源涵养
生态系统服务,土壤保持是生态系统服务的核心功能之一，二者具有从属关系。,土壤保持
河川,生态系统通过其结构和过程调节河川流量，增加水资源量。,生态系统
土壤,生态系统保护土壤，降低雨水侵蚀能力，减少土壤流失。,生态系统
生态系统,生态系统在维持生物多样性方面发挥关键作用。,生物多样性
生态系统,生态系统是评估的对象，其服务功能通过标准方法进行评估。,生态系统服务功能评估
遥感,遥感技术为生态系统服务功能评估提供数据支持。,生态系统服务功能评估
地面调查数据,地面调查数据是生态系统服务功能评估的重要基础。,生态系统服务功能评估
水源涵养量,水源涵养量的计算依赖于水量平衡方程这一技术方法。,水量平衡方程
土壤保持量,土壤保持量的计算依赖于修正土壤流失方程（RUSLE）这一技术方法。,修正土壤流失方程
防风固沙量,防风固沙量的计算依赖于修正风力侵蚀模型（REWQ）这一技术方法。,修正风力侵蚀模型
生境不可替代性指数,生境不可替代性指数的计算依赖于Marxan模型这一技术方法。,MARXAN
世界自然保护联盟,该联盟发布的红色名录是评估珍稀濒危物种数量的国际标准。,珍稀濒危物种数量
国家重点保护野生物种名录,名录用于评估珍稀濒危物种数量的重要参考依据。,珍稀濒危物种数量
RUSLE,"RUSLE is specifically designed for calculating soil conservation quantities.
RUSLE模型用于计算土壤保持量。",土壤保持
REWQ,"REWQ is specifically designed for calculating sand fixation quantities.
REWQ模型用于计算固沙量。",防风固沙
MARXAN,"Marxan模型用于计算生境不可替代性指数。
Marxan is specifically used for calculating habitat irreplaceability index.",生境不可替代性
HJ 1168,"HJ 1168是统计物种丰富度的参考标准之一。
HJ 1168 is one of the standards used for species richness investigation.",物种丰富度
HJ 1169,"HJ 1169 is one of the standards used for species richness investigation.
HJ 1169是统计物种丰富度的参考标准之一。",物种丰富度
HJ 1170,"HJ 1170 is one of the standards used for species richness investigation.
HJ 1170是统计物种丰富度的参考标准之一。",物种丰富度
国家重点保护野生物种名录,This list is used for identifying rare and endangered species in China.,珍稀濒危物种
世界自然保护联盟红色名录,The IUCN Red List is used for identifying globally rare and endangered species.,珍稀濒危物种
TIMES S,times S organization appears to be working with soil erosion factors including R,R
TIMES S,times S organization appears to be working with soil erosion factors including K,K
TIMES S,times S organization appears to be working with soil erosion factors including L,L
TIMES S,times S organization appears to be working with soil erosion factors including S,S
TIMES S,times S organization appears to be working with soil erosion factors including C,C
Q_{SE\_A},Q_{se\_a} 的计算依赖于降雨侵蚀力因子 R。,R
Q_{SE\_A},Q_{se\_a} 的计算依赖于土壤可蚀性因子 K。,K
Q_{SE\_A},Q_{se\_a} 的计算依赖于坡长因子 L。,L
Q_{SE\_A},Q_{se\_a} 的计算依赖于坡度因子 S。,S
Q_{SE\_A},Q_{se\_a} 的计算依赖于植被覆盖因子 C。,C
Q_{SE\_A},Q_{se\_p} 和 Q_{se\_a} 是潜在和实际土壤侵蚀量的计算公式，相互关联。,Q_{SE\_P}
Q_{SR},Q_{sr} 和 Q_{se\_p} 是土壤保持和潜在侵蚀的计算公式，相互关联。,Q_{SE\_P}
R,R and K are both factors used together in soil erosion calculations,K
R,C and R interact in determining actual soil erosion rates,C
L,L and S are both topographic factors used together in soil erosion calculations,S
降雨侵蚀力空间数据,降雨侵蚀力空间数据与土壤可蚀性因子共同用于评价土壤侵蚀的敏感程度。,土壤可蚀性因子
降雨侵蚀力空间数据,气象站点提供原始降雨数据用于生成降雨侵蚀力空间数据。,气象站点
降雨侵蚀力空间数据,侵蚀性降雨日是天数计算的基础，直接影响降雨侵蚀力空间数据的生成。,侵蚀性降雨日
暖季,暖季使用特定参数计算侵蚀性降雨日的降雨侵蚀力。,侵蚀性降雨日
冷季,冷季使用特定参数计算侵蚀性降雨日的降雨侵蚀力。,侵蚀性降雨日
土壤,砂粒是土壤的组成部分，其含量直接影响土壤的可蚀性。,砂粒
土壤,粉粒是土壤的组成部分，其含量直接影响土壤的可蚀性。,粉粒
土壤,侵蚀-生产力评价模型用于评估土壤的可蚀性因子。,侵蚀-生产力评价模型
砂粒,砂粒百分含量是计算土壤可蚀性因子的关键参数之一。,土壤可蚀性因子
粉粒,粉粒百分含量是计算土壤可蚀性因子的关键参数之一。,土壤可蚀性因子
侵蚀-生产力评价模型,侵蚀-生产力评价模型用于计算土壤可蚀性因子。,土壤可蚀性因子
森林,森林和灌丛都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。,灌丛
森林,森林和草地都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。,草地
森林,森林和乔木园地都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。,乔木园地
灌丛,灌丛和草地都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。,草地
灌丛,灌丛和乔木园地都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。,乔木园地
草地,草地和乔木园地都是生态系统类型，具有不同的植被覆盖度和植被覆盖因子。,乔木园地
草地,草地的防风固沙能力通过防风固沙量进行评价。,防风固沙量
乔木园地,乔木园地的防风固沙能力通过防风固沙量进行评价。,防风固沙量
灌木园地,灌木园地的防风固沙能力通过防风固沙量进行评价。,防风固沙量
防风固沙量,修正风蚀方程RWEQ直接用于计算和评价防风固沙量。,修正风蚀方程RWEQ
SR,SR通过SL_潜与SL的差值计算得出，反映固沙效果。,SL_潜
SL_潜,SL_潜与SL的差值用于计算SR，反映实际与潜在侵蚀量的差异。,SL
SL_潜,WF是计算SL_潜的关键因子之一，直接影响潜在风力侵蚀量。,WF
