head,relation,tail
支持向量机,用于遥感估算,遥感影像分类
支持向量机,应用于,辐射传输模型
遥感影像分类,用于遥感估算,训练样本
辐射传输模型,应用于,训练样本
训练样本,用于估算,机器学习方法
辐射传输模型,应用于,机器学习模型
辐射传输模型,应用于,光谱反射率
机器学习模型,用于估算,植被覆盖度
光谱反射率,用于遥感估算,植被覆盖度
植被覆盖度,用于遥感估算,植被覆盖度遥感估算方法
总初级生产力,用于估算,通量站连续观测
总初级生产力,用于估算,陆地生态过程模型
通量站连续观测,实现或测量,涡度相关法
通量站连续观测,实现或测量,涡度相关技术
通量站连续观测,用于估算,总初级生产力
涡度相关技术,用于测量,碳循环
涡度相关技术,实现或测量,涡度相关法
陆地生态过程模型,用于估算,遥感估测总初级生产力模型
陆地生态过程模型,用于估算,总初级生产力
遥感估测总初级生产力模型,用于估算,总初级生产力
GPP估测模型,用于估算,经验型植被指数模型
GPP估测模型,用于估算,植被生态过程模型
GPP估测模型,用于估算,机器学习模型
GPP估测模型,用于估算,植被总初级生产力
经验型植被指数模型,用于估算,植被生态过程模型
经验型植被指数模型,用于估算,机器学习模型
经验型植被指数模型,用于估算,植被总初级生产力
植被生态过程模型,用于估算,机器学习模型
植被生态过程模型,用于估算,植被总初级生产力
机器学习模型,用于估算,植被总初级生产力
中华人民共和国国家生态环境标准,规定或指导,HJ 1173—2021
中华人民共和国国家生态环境标准,规定或指导,全国生态状况调查评估技术规范
生态环境部,规定或指导,生态环境部环境标准研究所
全国生态状况调查评估技术规范,规定或指导,生态系统服务功能评估
全国生态状况定期遥感调查评估方案,规定或指导,生态系统服务功能评估
全国生态状况定期遥感调查评估方案,规定或指导,全国生态状况调查评估技术规范
全国生态状况定期遥感调查评估方案,规定或指导,生态环境部
全国生态状况定期遥感调查评估方案,规定或指导,HJ 1166—2021
全国生态状况定期遥感调查评估方案,规定或指导,HJ 1167—2021
全国生态状况定期遥感调查评估方案,规定或指导,HJ 1168—2021
全国生态状况调查评估技术规范,规定或指导,生态环境部
全国生态状况调查评估技术规范,规定或指导,生态系统质量评估
森林生态系统野外观测,规定或指导,HJ 1167—2021
草地生态系统野外观测,规定或指导,HJ 1168—2021
湿地生态系统野外观测,规定或指导,HJ 1169—2021
荒漠生态系统野外观测,规定或指导,HJ 1170—2021
生态系统格局评估,规定或指导,HJ 1171—2021
生态系统质量评估,规定或指导,HJ 1172—2021
生态环境部法规与标准司,规定或指导,全国生态状况调查评估技术规范
中国科学院生态环境研究中心,规定或指导,全国生态状况调查评估技术规范
生态环境部卫星环境应用中心,规定或指导,全国生态状况调查评估技术规范
全国生态状况调查评估技术规范,规定或指导,HJ 1171—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1172—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1174—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1175—2021
全国生态状况调查评估技术规范,规定或指导,HJ 1176—2021
生态环境部,规定或指导,HJ 1176—2021
生态环境部,规定或指导,中国科学院生态环境研究中心
生态环境部,规定或指导,生态环境部卫星环境应用中心
生态环境部,规定或指导,全国
生态环境部,规定或指导,省级行政区域
中国科学院生态环境研究中心,规定或指导,HJ 1176—2021
生态环境部卫星环境应用中心,规定或指导,HJ 1176—2021
自然生态保护司,规定或指导,HJ 1176—2021
法规与标准司,规定或指导,HJ 1176—2021
HJ 1176—2021,规定或指导,全国
HJ 1176—2021,规定或指导,省级行政区域
HJ 1170 全国生态状况调查评估技术规范,规定或指导,生态系统服务
HJ 1170 全国生态状况调查评估技术规范,用于计算或描述,水源涵养
HJ 1170 全国生态状况调查评估技术规范,描述或规定,土壤保持
生态系统服务,用于计算或描述,水源涵养
生态系统服务,描述或规定,土壤保持
河川,用于计算或描述,生态系统
土壤,描述或规定,生态系统
生态系统,规定或指导,生物多样性
生态系统,规定或指导,生态系统服务功能评估
遥感,规定或指导,生态系统服务功能评估
地面调查数据,规定或指导,生态系统服务功能评估
水源涵养量,用于计算或描述,水量平衡方程
土壤保持量,用于计算,修正土壤流失方程
防风固沙量,用于计算,修正风力侵蚀模型
生境不可替代性指数,用于计算,MARXAN
世界自然保护联盟,用于识别,珍稀濒危物种数量
国家重点保护野生物种名录,用于识别,珍稀濒危物种数量
RUSLE,用于计算,土壤保持
REWQ,用于计算,防风固沙
MARXAN,构成或依赖于,生境不可替代性
HJ 1168,用于统计,物种丰富度
HJ 1169,用于统计,物种丰富度
HJ 1170,用于统计,物种丰富度
国家重点保护野生物种名录,用于识别,珍稀濒危物种
世界自然保护联盟红色名录,用于识别,珍稀濒危物种
TIMES S,涉及,R
TIMES S,涉及,K
TIMES S,涉及,L
TIMES S,涉及,S
TIMES S,涉及,C
Q_{SE\_A},用于计算,R
Q_{SE\_A},用于计算,K
Q_{SE\_A},用于计算,L
Q_{SE\_A},用于计算,S
Q_{SE\_A},用于计算,C
Q_{SE\_A},用于计算,Q_{SE\_P}
Q_{SR},用于计算,Q_{SE\_P}
R,用于计算,K
R,用于计算,C
L,用于计算,S
降雨侵蚀力空间数据,用于计算,土壤可蚀性因子
降雨侵蚀力空间数据,用于计算,气象站点
降雨侵蚀力空间数据,用于计算,侵蚀性降雨日
暖季,用于计算,侵蚀性降雨日
冷季,用于计算,侵蚀性降雨日
土壤,用于计算,砂粒
土壤,用于计算,粉粒
土壤,用于计算,侵蚀-生产力评价模型
砂粒,用于计算,土壤可蚀性因子
粉粒,用于计算,土壤可蚀性因子
侵蚀-生产力评价模型,用于计算,土壤可蚀性因子
森林,属于,灌丛
森林,属于,草地
森林,属于,乔木园地
灌丛,属于,草地
灌丛,属于,乔木园地
草地,属于,乔木园地
草地,用于计算,防风固沙量
乔木园地,用于计算,防风固沙量
灌木园地,用于计算,防风固沙量
防风固沙量,用于计算,修正风蚀方程RWEQ
SR,用于计算,SL_潜
SL_潜,用于计算,SL
SL_潜,用于计算,WF
SL_潜,用于计算,EF
SL_潜,用于计算,SCF
SL,用于计算,C
WF,用于计算,EF
WF,用于计算,SCF
WF,用于计算,C
WF,用于计算,WF
WF,用于计算,SW
WF,用于计算,SD
WF,用于计算,G
EF,用于计算,SCF
EF,用于计算,C
EF,用于计算,SA
EF,用于计算,SI
EF,用于计算,CL
EF,用于计算,OM
EF,用于计算,CACO3
SCF,用于计算,C
林地,用于计算,草地
林地,用于计算,SMITH-CARSON方程
草地,用于计算,SMITH-CARSON方程
灌丛,用于计算,裸地
灌丛,用于计算,SMITH-CARSON方程
裸地,用于计算,SMITH-CARSON方程
沙地,用于计算,农田
沙地,用于计算,SMITH-CARSON方程
农田,用于计算,SMITH-CARSON方程
生境不可替代性指数,用于计算,SMITH-CARSON方程
SMITH-CARSON方程,协同使用,MARXAN软件
MARXAN软件,提供,中国动物志
MARXAN软件,提供,中国植物志
中国动物志,提供,中国植物志
中国动物志,提供,国家一级物种
中国植物志,提供,国家二级物种
MARXAN模型,用于计算,不可替代性指数
MARXAN模型,决定,规划单元
MARXAN模型,调整或影响,保护体系
不可替代性指数,用于计算,评估单元
BLM,调整或影响,保护体系边界总长度修正值
保护体系边界总长度修正值,调整或影响,保护目标
保护体系边界总长度修正值,调整或影响,规划单元
保护体系边界总长度修正值,调整或影响,保护优先区
保护目标,触发或影响,成本阈值
保护目标,触发或影响,物种
成本阈值,触发或影响,物种
运算,决定,规划单元
运算,决定,不可替代性
规划单元,决定,保护需求
规划单元,决定,保护价值
补偿值,触发或影响,成本阈值
